               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03438,            0.015401,           0.0037389,             0.96138,             0.98394,             0.97788,             0.61059,            0.029661,           0.0093608,           0.0016214,             0.00307,             0.00307,             0.00307
                  37,            0.033649,            0.016138,           0.0031154,             0.96092,             0.98132,             0.97739,             0.62026,            0.028757,           0.0092485,           0.0015997,            0.002872,            0.002872,            0.002872
                  38,            0.033094,            0.015313,           0.0033584,             0.95858,             0.98662,              0.9801,             0.62778,            0.028512,           0.0092576,           0.0015587,            0.002674,            0.002674,            0.002674
                  39,            0.033224,            0.015033,           0.0035108,             0.96346,             0.98765,             0.98638,             0.63271,            0.028345,            0.009133,           0.0015465,            0.002476,            0.002476,            0.002476
                  40,            0.032636,            0.016136,           0.0033583,             0.96829,             0.98599,             0.98855,             0.63234,            0.028652,           0.0091296,           0.0015323,            0.002278,            0.002278,            0.002278
                  41,            0.032073,            0.015301,            0.003037,             0.97257,             0.98868,             0.98913,             0.65088,            0.027449,           0.0090057,           0.0015287,             0.00208,             0.00208,             0.00208
                  42,            0.031124,            0.014848,           0.0028916,             0.96852,             0.98686,              0.9864,             0.65527,            0.027373,           0.0089563,            0.001508,            0.001882,            0.001882,            0.001882
                  43,            0.030963,            0.015754,            0.002899,             0.97258,             0.97965,             0.98493,             0.65093,            0.027162,           0.0089037,           0.0014941,            0.001684,            0.001684,            0.001684
                  44,             0.03158,            0.014195,           0.0034589,             0.97447,             0.98462,             0.98515,             0.66642,             0.02659,           0.0088849,            0.001476,            0.001486,            0.001486,            0.001486
                  45,            0.029912,            0.014612,           0.0028791,             0.97601,             0.98572,             0.98524,             0.66504,            0.026539,           0.0088175,           0.0014598,            0.001288,            0.001288,            0.001288
                  46,            0.030395,            0.015384,            0.003192,             0.97712,             0.98708,             0.98777,             0.66904,            0.026255,           0.0087865,           0.0014511,             0.00109,             0.00109,             0.00109
                  47,            0.030336,              0.0155,           0.0029414,             0.97258,             0.98845,             0.98771,             0.67168,            0.026064,           0.0087596,           0.0014323,            0.000892,            0.000892,            0.000892
                  48,            0.029899,            0.014859,           0.0027702,             0.97363,             0.98798,             0.98644,             0.67074,            0.026091,           0.0087333,            0.001425,            0.000694,            0.000694,            0.000694
                  49,            0.030204,            0.015842,            0.003419,             0.97616,             0.98597,             0.99015,             0.67315,            0.025993,           0.0087168,           0.0014096,            0.000496,            0.000496,            0.000496
